WptName,GR(6),Hill Name,Height,GridZN,GridEast,GridNorth,Latitude,Longitude,Prominence,Hillnumber,Country,Type
0523.w,NY097143,Crag Fell,523,NY,09723,14387,54.51672,-3.39607,114,2476,England,Wainwright
0839.H,NY192203,Crag Hill (Eel Crag),839.2,NY,19273,20334,54.57176,-3.25023,116,2374,England,Wainwright
0859.H,NY248048,Crinkle Crags-Long Top (Second Crinkle),859,NY,24865,04873,54.4337,-3.15981,139,2371,England,Wainwright
0753.H,NY222153,Dale Head,753,NY,22288,15326,54.52724,-3.20228,397,2400,England,Wainwright
0502.w,NY244273,Dodd (Skiddaw),502,NY,24441,27351,54.63561,-3.17212,110,2349,England,Wainwright
0859.H,NY346130,Dollywaggon Pike,858.5,NY,34626,13068,54.50869,-3.01118,50.3,2524,England,Wainwright
0792.H,NY374104,Dove Crag,792,NY,37455,10436,54.4854,-2.96693,50,2533,England,Wainwright
0778.H,SD262977,Dow Crag,778,SD,26253,97794,54.3703,-3.13666,129,2638,England,Wainwright
0525.w,NY275121,Eagle Crag,525,NY,27532,12103,54.49906,-3.12048,27,2475,England,Wainwright
0885.H,NY236075,Esk Pike,885,NY,23650,07505,54.45717,-3.17922,112,2369,England,Wainwright
0873.H,NY358117,Fairfield,873.3,NY,35872,11755,54.49705,-2.99165,300,2521,England,Wainwright
0416.w,NY132242,Fellbarrow-Mosser Fell,416,NY,13239,24236,54.60582,-3.3447,51.6,2495,England,Wainwright
0649.H,NY205141,Fleetwith Pike,648.9,NY,20591,14167,54.51656,-3.22818,118,2438,England,Wainwright
0720.H,NY435085,Froswick,720,NY,43519,08526,54.46895,-2.87297,75,2548,England,Wainwright
0524.w,NY116185,Gavel Fell,524.3,NY,11655,18500,54.55401,-3.36747,73.7,2474,England,Wainwright
0420.w,NY316100,Gibson Knott,420.1,NY,31689,10037,54.48107,-3.05583,8.8,2494,England,Wainwright
0783.H,NY245104,Glaramara,783,NY,24599,10457,54.48384,-3.16534,121,2389,England,Wainwright
0442.w,NY380175,Glenridding Dodd,442,NY,38050,17558,54.54947,-2.95925,45,2612,England,Wainwright
0481.w,NY407218,Gowbarrow Fell (Wainwright summit),481.2,NY,40761,21822,54.58811,-2.9182,9,2610,England,Wainwright
0417.w,NY264162,Grange Fell (Brund Fell),417.2,NY,26467,16277,54.53641,-3.13796,42.2,2496,England,Wainwright
0852.H,NY174203,Grasmoor,851.6,NY,17484,20352,54.57164,-3.27791,518,2372,England,Wainwright
0698.W,NY427117,Gray Crag,698.1,NY,42756,11708,54.49746,-2.88536,13.7,2552,England,Wainwright
0450.w,NY176266,Graystones,450.4,NY,17615,26622,54.62799,-3.27764,9.4,2489,England,Wainwright
0616.H,NY123163,Great Borne,616,NY,12392,16359,54.5349,-3.35544,113,2451,England,Wainwright
0691.H,NY290311,Great Calva,691,NY,29088,31189,54.67077,-3.10107,142,2331,England,Wainwright
0785.N,NY270009,Great Carrs,785,NY,27078,00950,54.39878,-3.12474,20,2637,England,Wainwright
0526.w,NY273333,Great Cockup,526,NY,27336,33321,54.68968,-3.12877,90,2347,England,Wainwright
0449.w,NY270146,Great Crag (Stonethwaite),449,NY,27000,14686,54.52219,-3.12933,32,2491,England,Wainwright
0857.H,NY342205,Great Dodd,857,NY,34203,20530,54.57569,-3.01938,109,2525,England,Wainwright
0910.H,NY226083,Great End,909.5,NY,22671,08386,54.46494,-3.19455,56.1,2364,England,Wainwright
0899.H,NY211103,Great Gable,899,NY,21100,10321,54.48208,-3.2193,426,2367,England,Wainwright
0537.W,NY396253,Great Mell Fell,537,NY,39681,25368,54.61985,-2.93564,198,2583,England,Wainwright
0766.H,NY355104,Great Rigg,766.4,NY,35591,10407,54.48491,-2.99569,31,2539,England,Wainwright
0651.W,NY291339,Great Sca Fell,651,NY,29136,33901,54.69515,-3.10099,13,2338,England,Wainwright
0489.w,SD200982,Green Crag,488.7,SD,20014,98276,54.3737,-3.2328,142,2655,England,Wainwright
0801.H,NY214107,Green Gable,801,NY,21465,10717,54.4857,-3.21377,50,2384,England,Wainwright
0638.H,NY497072,Grey Crag (Sleddale Fell),638,NY,49713,07221,54.45787,-2.77719,41,2565,England,Wainwright
0773.H,NY260003,Grey Friar,773,NY,26009,00362,54.39334,-3.14105,78,2639,England,Wainwright
0697.N,NY217125,Grey Knotts,697,NY,21729,12567,54.50236,-3.21019,16,2424,England,Wainwright
0488.w,NY084140,Grike,488,NY,08499,14083,54.51377,-3.41488,37,2482,England,Wainwright
0791.H,NY198225,Grisedale Pike,791,NY,19840,22548,54.59175,-3.24207,189,2386,England,Wainwright
0388.W,NY433198,Hallin Fell,388,NY,43302,19820,54.57041,-2.8785,161,2623,England,Wainwright
0549.W,NY231023,Hard Knott,549,NY,23187,02377,54.41103,-3.18503,154,2469,England,Wainwright
0736.H,NY281074,Harrison Stickle,736,NY,28172,07401,54.4569,-3.10946,53,2406,England,Wainwright
0823.H,NY368112,Hart Crag,823.1,NY,36817,11263,54.49275,-2.97695,51.2,2529,England,Wainwright
0756.N,NY359197,Hart Side,756,NY,35901,19730,54.56872,-2.99294,23,2543,England,Wainwright
0653.H,SD218997,Harter Fell (Eskdale),653.2,SD,21876,99715,54.38692,-3.20452,273,2643,England,Wainwright
0779.H,NY459093,Harter Fell (Mardale),779,NY,45969,09327,54.47641,-2.83532,149,2537,England,Wainwright
0586.w,NY383120,Hartsop Above How (Gill Crag-Hartsop Above How),586.1,NY,38317,12004,54.4996,-2.95396,29.5,2578,England,Wainwright
0619.N,NY411118,Hartsop Dodd,619,NY,41133,11849,54.49854,-2.91045,25,2572,England,Wainwright
0797.H,NY144107,Haycock,797,NY,14478,10717,54.48457,-3.32158,94,2385,England,Wainwright
0597.w,NY193131,Haystacks (Buttermere),597,NY,19334,13152,54.50724,-3.24732,78,2457,England,Wainwright
0405.w,NY326093,Helm Crag,405,NY,32651,09350,54.47503,-3.04082,70,2498,England,Wainwright
0950.H,NY342151,Helvellyn,949.8,NY,34245,15111,54.527,-3.01751,713,2515,England,Wainwright
0506.w,NY132181,Hen Comb,506.2,NY,13214,18118,54.55085,-3.34326,138,2481,England,Wainwright
0612.n,NY355083,Heron Pike (Rydal),612,NY,35597,08311,54.46607,-2.99514,21,2573,England,Wainwright
0745.H,NY180139,High Crag (Buttermere),744.8,NY,18048,13997,54.51463,-3.26741,34.8,2401,England,Wainwright
0519.w,NY393107,High Hartsop Dodd,519,NY,39355,10769,54.48862,-2.93768,3,2589,England,Wainwright
0658.H,NY318350,High Pike (Caldbeck),658,NY,31876,35002,54.70542,-3.05874,68,2337,England,Wainwright
0656.w,NY374088,High Pike (Scandale),656,NY,37442,08831,54.47098,-2.96679,6,2562,England,Wainwright
0804.H,NY448134,High Raise (High Street),803.6,NY,44823,13453,54.51337,-2.85378,89.9,2530,England,Wainwright
0762.H,NY280095,High Raise (High White Stones),762,NY,28088,09524,54.47596,-3.11127,283,2396,England,Wainwright
0355.W,NY308219,High Rigg (Naddle Fell),355,NY,30851,21998,54.58843,-3.07157,186,2627,England,Wainwright
0609.W,NY287180,High Seat,609,NY,28708,18046,54.55262,-3.10376,139,2455,England,Wainwright
0653.H,NY234162,High Spy,653.1,NY,23413,16234,54.53557,-3.18514,147,2436,England,Wainwright
0806.W,NY167147,High Stile,806.2,NY,16751,14794,54.52158,-3.28767,8.9,3728,England,Wainwright
0828.H,NY440110,High Street,828,NY,44076,11050,54.49169,-2.86486,373,2528,England,Wainwright
0515.w,NY289165,High Tove,515,NY,28914,16511,54.53886,-3.10021,16,2478,England,Wainwright
0727.H,NY215165,Hindscarth,727,NY,21566,16517,54.53783,-3.21376,71,2411,England,Wainwright
0316.W,NY315006,Holme Fell,316,NY,31502,00606,54.3963,-3.05653,164,2673,England,Wainwright
0770.H,NY185221,Hopegill Head,769.6,NY,18566,22163,54.58808,-3.26168,97.2,2395,England,Wainwright
0757.H,NY436077,Ill Bell,757,NY,43648,07753,54.46202,-2.87084,124,2542,England,Wainwright
0609.W,NY168049,Illgill Head,608.8,NY,16897,04925,54.43293,-3.28263,312,2454,England,Wainwright
0731.H,NY465077,Kentmere Pike,730.5,NY,46553,07792,54.46268,-2.82603,39.7,2546,England,Wainwright
0781.N,NY447125,Kidsty Pike,781,NY,44736,12580,54.50551,-2.85496,15,2536,England,Wainwright
0802.H,NY194104,Kirk Fell,802,NY,19494,10487,54.48332,-3.24412,181,2383,England,Wainwright
0710.H,NY296329,Knott,710,NY,29616,32985,54.68698,-3.09332,242,2328,England,Wainwright
0556.w,NY197188,Knott Rigg,556,NY,19740,18872,54.5587,-3.24261,53,2465,England,Wainwright
0541.w,NY091119,Lank Rigg,541,NY,09163,11960,54.49481,-3.40397,111,2471,England,Wainwright
0369.w,NY279247,Latrigg,369,NY,27902,24715,54.61243,-3.11786,74,2352,England,Wainwright
0374.w,NY179285,Ling Fell,374,NY,17993,28536,54.64525,-3.27233,98,2501,England,Wainwright
0807.H,NY209081,Lingmell,807,NY,20932,08177,54.46279,-3.22132,72,2382,England,Wainwright
0470.W,NY302046,Lingmoor Fell (Lingmoor Fell-Brown How),470,NY,30272,04605,54.43207,-3.07641,248,2485,England,Wainwright
0637.H,NY387100,Little Hart Crag (Little Hart Crag-West Top),637,NY,38730,10031,54.48192,-2.94717,34,2566,England,Wainwright
0505.W,NY423240,Little Mell Fell,505,NY,42323,24018,54.60802,-2.89447,226,2598,England,Wainwright
0672.H,NY456180,Loadpot Hill,672,NY,45635,18047,54.55474,-2.84209,49,2556,England,Wainwright
0682.n,NY277071,Loft Crag,681.7,NY,27744,07133,54.45443,-3.11599,23.6,2430,England,Wainwright
0734.H,NY248284,Long Side,734,NY,24879,28445,54.64551,-3.16562,40,2326,England,Wainwright
0483.w,NY275354,Longlands Fell,483,NY,27592,35402,54.70841,-3.12531,37,2350,England,Wainwright
0715.H,NY285271,Lonscale Fell,715,NY,28544,27145,54.63436,-3.10852,50,2327,England,Wainwright
0552.W,NY204265,Lord's Seat,552,NY,20433,26553,54.62782,-3.23398,237,2345,England,Wainwright
0335.W,NY346051,Loughrigg Fell,335,NY,34695,05139,54.43745,-3.00836,172,2507,England,Wainwright
0423.W,NY137226,Low Fell,422.5,NY,13731,22617,54.59136,-3.33661,266,2493,England,Wainwright
0508.w,NY373078,Low Pike,508,NY,37351,07840,54.46206,-2.96799,18,2596,England,Wainwright
0575.w,NY236181,Maiden Moor,575,NY,23676,18189,54.55317,-3.18159,10,2461,England,Wainwright
0760.W,NY447101,Mardale Ill Bell,760,NY,44761,10121,54.48342,-2.85411,10,2541,England,Wainwright
0549.w,NY283337,Meal Fell,549.4,NY,28300,33764,54.6938,-3.11392,29.3,2346,England,Wainwright
0512.W,NY148186,Mellbreak (Mellbreak South Top),512,NY,14841,18614,54.55558,-3.31826,260,2479,England,Wainwright
0654.w,NY397095,Middle Dodd,654,NY,39735,09575,54.47794,-2.93157,14,2564,England,Wainwright
0582.w,NY150072,Middle Fell,582,NY,15077,07220,54.45325,-3.31133,117,2459,England,Wainwright
0632.w,NY311292,Mungrisdale Common,631.8,NY,31168,29205,54.65323,-3.06836,2.4,2340,England,Wainwright
0450.w,NY355072,Nab Scar,450,NY,35536,07237,54.45641,-2.99585,2,2611,England,Wainwright
0891.N,NY343142,Nethermost Pike,891.3,NY,34366,14218,54.51899,-3.01545,29.1,2517,England,Wainwright
0568.w,NY211214,Outerside,568,NY,21108,21460,54.58217,-3.22216,74,2464,England,Wainwright
0700.N,NY284079,Pavey Ark,700,NY,28455,07908,54.46149,-3.10521,15,2423,England,Wainwright
0705.H,NY271042,Pike of Blisco,705,NY,27118,04213,54.4281,-3.12493,177,2419,England,Wainwright
0708.H,NY273073,Pike of Stickle,708.4,NY,27398,07357,54.45639,-3.12138,53,2417,England,Wainwright
0892.H,NY171121,Pillar,892.4,NY,17125,12105,54.49748,-3.28113,348,2368,England,Wainwright
0657.H,NY405169,Place Fell,657,NY,40534,16946,54.54427,-2.92073,262,2561,England,Wainwright
0883.H,NY342174,Raise,882.7,NY,34281,17416,54.54772,-3.01747,91.6,2520,England,Wainwright
0792.H,NY443128,Rampsgill Head,792.4,NY,44332,12872,54.50809,-2.86125,41.1,2532,England,Wainwright
0355.w,NY167182,Rannerdale Knotts,355,NY,16726,18252,54.55264,-3.28903,66,2502,England,Wainwright
0461.w,NY303187,Raven Crag,461,NY,30339,18756,54.55923,-3.07872,44,2487,England,Wainwright
0755.H,NY160154,Red Pike (Buttermere),755.3,NY,16058,15459,54.52744,-3.29855,41.3,2399,England,Wainwright
0826.H,NY165106,Red Pike (Wasdale),826,NY,16531,10607,54.48392,-3.28988,62,2378,England,Wainwright
0776.H,NY396087,Red Screes,776,NY,39659,08758,54.47059,-2.93257,260,2538,England,Wainwright
0696.H,NY432136,Rest Dodd,696,NY,43255,13647,54.51494,-2.87803,111,2553,England,Wainwright
0737.H,NY201168,Robinson,737,NY,20192,16872,54.5408,-3.23508,161,2405,England,Wainwright
0651.H,NY249075,Rossett Pike,651,NY,24910,07569,54.45794,-3.1598,40,2437,England,Wainwright
0551.w,NY258124,Rosthwaite Fell-Bessyboot,551,NY,25830,12480,54.5022,-3.14685,45,2467,England,Wainwright
0773.H,NY198202,Sail,773,NY,19816,20276,54.57133,-3.24182,32,2393,England,Wainwright
0359.w,NY194296,Sale Fell,359,NY,19444,29665,54.65563,-3.25016,137,2503,England,Wainwright
0516.w,NY436039,Sallows,516,NY,43656,03981,54.42812,-2.87,69,2590,England,Wainwright
0964.H,NY206064,Scafell,963.9,NY,20681,06479,54.4475,-3.22473,132,2360,England,Wainwright
0978.H,NY215072,Scafell Pike,978.1,NY,21540,07217,54.45426,-3.21168,912,2359,England,Wainwright
0672.H,NY208206,Scar Crags,672,NY,20849,20663,54.57497,-3.22595,55,2432,England,Wainwright
0841.H,NY159113,Scoat Fell,841,NY,15939,11395,54.4909,-3.29924,86,2373,England,Wainwright
0737.H,NY344115,Seat Sandal,736.8,NY,34419,11531,54.49486,-3.01403,151,2545,England,Wainwright
0692.H,NY140084,Seatallan,692,NY,14001,08443,54.46406,-3.32827,193,2427,England,Wainwright
0601.w,NY229101,Seathwaite Fell (Wainwright summit),601.1,NY,22915,10169,54.481,-3.19125,14,2456,England,Wainwright
0655.H,NY490111,Selside Pike,655,NY,49061,11146,54.49308,-2.78793,36,2563,England,Wainwright
0736.W,NY286088,Sergeant Man,736,NY,28643,08892,54.47036,-3.10255,12,2407,England,Wainwright
0571.w,NY273113,Sergeant's Crag,571,NY,27392,11379,54.49253,-3.12246,45,2463,England,Wainwright
0676.H,NY369181,Sheffield Pike,676.1,NY,36910,18182,54.55494,-2.977,93,2554,England,Wainwright
0587.w,NY472062,Shipman Knotts,587,NY,47269,06214,54.44858,-2.81471,11,2574,England,Wainwright
0394.w,NY324066,Silver How,393.8,NY,32477,06644,54.45069,-3.04289,29.7,2499,England,Wainwright
0930.H,NY260290,Skiddaw,930.4,NY,26042,29081,54.65139,-3.14776,705,2319,England,Wainwright
0865.H,NY266277,Skiddaw Little Man,865,NY,26675,27793,54.63991,-3.13763,61,2321,England,Wainwright
0762.W,NY209050,Slight Side,762,NY,20990,05015,54.43439,-3.21958,14,2397,England,Wainwright
0483.w,NY427032,Sour Howes,483,NY,42764,03218,54.42117,-2.8836,35,2609,England,Wainwright
0522.w,NY354291,Souther Fell,522,NY,35471,29142,54.65324,-3.00166,87,2348,England,Wainwright
0841.H,NY369133,St Sunday Crag,841.2,NY,36919,13397,54.51194,-2.97584,160,2527,England,Wainwright
0633.H,NY142157,Starling Dodd,633,NY,14208,15748,54.52973,-3.32721,73,2445,England,Wainwright
0553.w,NY319111,Steel Fell (Dead Pike-Steel Fell),553,NY,31942,11155,54.49115,-3.05218,83,2466,England,Wainwright
0432.w,NY440181,Steel Knotts (Pikeawassa-Steel Knotts),432,NY,44037,18123,54.55525,-2.86681,51,2615,England,Wainwright
0819.N,NY157116,Steeple,819,NY,15754,11675,54.49339,-3.30217,24,2379,England,Wainwright
0504.w,NY347092,Stone Arthur,504,NY,34753,09236,54.47428,-3.00837,3,2601,England,Wainwright
0764.H,NY417100,Stony Cove Pike (Caudale Moor),763.7,NY,41781,10007,54.48206,-2.90008,172,2540,England,Wainwright
0844.H,NY343189,Stybarrow Dodd,843.7,NY,34307,18908,54.56113,-3.01741,68.9,2526,England,Wainwright
0802.H,NY272005,Swirl How,802.4,NY,27281,00555,54.39526,-3.12152,120,2635,England,Wainwright
0549.w,NY303093,Tarn Crag (Easedale),549,NY,30370,09303,54.4743,-3.07601,4,2468,England,Wainwright
0664.H,NY488078,Tarn Crag (Sleddale),664,NY,48847,07852,54.46346,-2.79066,160,2559,England,Wainwright
0739.W,NY437126,The Knott (High Street),739,NY,43710,12682,54.50632,-2.87082,13,2544,England,Wainwright
0576.w,NY434151,The Nab,576,NY,43427,15198,54.52889,-2.87568,61,2577,England,Wainwright
0802.H,SD272978,The Old Man of Coniston (Coniston Old Man),802.4,SD,27242,97818,54.37066,-3.12145,415,2634,England,Wainwright
0784.H,NY431100,Thornthwaite Crag,784,NY,43149,10051,54.48261,-2.87898,30.6,2535,England,Wainwright
0723.N,NY279079,Thunacar Knott,723,NY,27974,07993,54.46219,-3.11265,27,2413,England,Wainwright
0364.w,NY422064,Troutbeck Tongue,364,NY,42239,06428,54.44995,-2.89231,73,2626,England,Wainwright
0690.W,NY244287,Ullock Pike,690.4,NY,24441,28759,54.64826,-3.17249,14.4,2330,England,Wainwright
0723.H,NY291121,Ullscarf,723,NY,29149,12173,54.49991,-3.09553,114,2412,England,Wainwright
0379.w,NY276212,Walla Crag,379,NY,27685,21288,54.58161,-3.12038,24,2500,England,Wainwright
0774.H,NY188197,Wandope,773.9,NY,18819,19731,54.56627,-3.25709,30.5,2394,England,Wainwright
0789.w,NY335195,Watson's Dodd,789,NY,33567,19563,54.56692,-3.029,11,2534,England,Wainwright
0673.W,NY455167,Wether Hill,672.5,NY,45596,16768,54.54324,-2.84245,4.3,2557,England,Wainwright
0763.H,NY288011,Wetherlam,763,NY,28819,01113,54.40049,-3.09797,145,2640,England,Wainwright
0537.w,NY151035,Whin Rigg (Wasdale),537,NY,15100,03537,54.42016,-3.30992,61,2473,England,Wainwright
0517.w,NY191251,Whinlatter (Brown How-Whinlatter),517,NY,19113,25133,54.61486,-3.25403,16,2477,England,Wainwright
0863.H,NY337166,White Side,863.2,NY,33779,16665,54.5409,-3.02506,43.1,2523,England,Wainwright
0660.H,NY180189,Whiteless Pike,660,NY,18015,18977,54.55937,-3.26931,36.2,2434,England,Wainwright
0707.n,NY170219,Whiteside (Whiteside West Top),707,NY,17044,21949,54.58591,-3.28516,18,2418,England,Wainwright
0629.H,NY173084,Yewbarrow,628.7,NY,17336,08474,54.46489,-3.27686,143,2450,England,Wainwright
0707.H,NY437067,Yoke,707,NY,43772,06740,54.45293,-2.86873,38.8,2551,England,Wainwright